brand,parent_company,cvd_rate_pct,duty_group,source_article,updated
BYD,BYD,17.0,BYD group (sampled),byd-countervailing-duty-landed-cost.md,2026-09-19
Denza,BYD,17.0,BYD group (sampled),byd-countervailing-duty-landed-cost.md,2026-09-19
Fangchengbao,BYD,17.0,BYD group (sampled),byd-countervailing-duty-landed-cost.md,2026-09-19
Yangwang,BYD,17.0,BYD group (sampled),byd-countervailing-duty-landed-cost.md,2026-09-19
Geely,Geely,18.8,Geely group (sampled),geely-188-countervailing-duty.md,2026-09-19
Geely Galaxy,Geely,18.8,Geely group (sampled),geely-188-countervailing-duty.md,2026-09-19
Geometry,Geely,18.8,Geely group (sampled),geely-188-countervailing-duty.md,2026-09-19
Livan,Geely,18.8,Geely group (sampled),geely-188-countervailing-duty.md,2026-09-19
Lynk & Co,Geely,18.8,Geely group (sampled),geely-188-countervailing-duty.md,2026-09-19
Zeekr,Geely,18.8,Geely group (sampled),zeekr-countervailing-duty.md,2026-09-19
Baojun,SAIC,35.3,SAIC group (sampled),saic-35-percent-countervailing-duty.md,2026-09-19
IM,SAIC,35.3,SAIC group (sampled),saic-35-percent-countervailing-duty.md,2026-09-19
Maxus,SAIC,35.3,SAIC group (sampled),saic-35-percent-countervailing-duty.md,2026-09-19
MG,SAIC,35.3,SAIC group (sampled),saic-35-percent-countervailing-duty.md,2026-09-19
Roewe,SAIC,35.3,SAIC group (sampled),saic-35-percent-countervailing-duty.md,2026-09-19
SAIC,SAIC,35.3,SAIC group (sampled),saic-35-percent-countervailing-duty.md,2026-09-19
Wuling,SAIC,35.3,SAIC group (sampled),saic-35-percent-countervailing-duty.md,2026-09-19
Aeolus,Dongfeng,20.7,Other cooperating companies (non-sampled),"EUR-Lex Reg (EU) 2024/2754, Annex",2026-09-19
AION,GAC,20.7,Other cooperating companies (non-sampled),EV Hub tariffs.json (default),2026-09-19
AITO,Seres,20.7,Other cooperating companies (non-sampled),"EUR-Lex Reg (EU) 2024/2754, Annex",2026-09-19
Arcfox,BAIC,20.7,Other cooperating companies (non-sampled),EV Hub tariffs.json (default),2026-09-19
Avatr,ChangAn,20.7,Other cooperating companies (non-sampled),changan-countervailing-duty.md,2026-09-19
BAW,BAW,20.7,Other cooperating companies (non-sampled),EV Hub tariffs.json (default),2026-09-19
Bestune,FAW,20.7,Other cooperating companies (non-sampled),"EUR-Lex Reg (EU) 2024/2754, Annex",2026-09-19
